合并站名,站组ID,原始分站名,站点ID,经度,纬度
新村一巷,新村一巷,新村一巷,BV10017609,113.498039,23.336139
新村党建公园,新村党建公园,新村党建公园,BV09397670,113.281237,23.255225
新村居委会,新村居委会,新村居委会,BV11600166,113.291744,23.253487
新村村委,新村村委,新村村委,BV11399877,113.440684,23.675685
新村路口,新村路口,新村路口,BV11578750,113.579967,23.551622
新桂路,新桂路,新桂路,BV10017539,113.482517,23.161488
新桂路南,新桂路南,新桂路南,BV10017538,113.482123,23.157732
新桥东,新桥东,新桥东,BV10023355,113.414739,22.954371
新桥头,新桥头,新桥头,BV11406986,113.054559,23.397809
新桥小学,新桥小学,新桥小学,BV11647331,113.802146,23.346238
新桥村,新桥村#1,新桥村,BV11377449,113.697329,23.374403
新桥村,新桥村#2,新桥村,BV10023354,113.410309,22.952197
新楼村,新楼村,新楼村站,BV11690337,113.238364,23.328101
新民九队,新民九队,新民九队,BV10023905,113.203926,23.46607
新水坑,新水坑,新水坑,BV10019958,113.382691,22.97881
新水坑总站,新水坑总,新水坑总站,BV11457591,113.384492,22.975554
新水坑文化中心,新水坑文化中心,新水坑文化中心,BV10023324,113.387302,22.977513
新水坑村生态园,新水坑村生态园,新水坑村生态园,BV10023325,113.389508,22.974836
新水坑牌坊,新水坑牌坊,新水坑牌坊,BV10023323,113.384097,22.977958
新沙公园,新沙公园,新沙公园,BV10855495,113.548025,23.01307
新沙地铁站,新沙地铁,新沙地铁站,BV10976124,113.643951,23.139547
新沙大道北,新沙大道北,新沙大道北,BV09293652,113.648398,23.14975
新沙市场站(北),新沙市场站(北),新沙市场站,BV10382278,113.431046,22.819148
新沙市场站(北),新沙市场站(北),新沙市场站(北),BV09012299,113.430865,22.819273
新沙村站(东),新沙村站(东),新沙村站(东),BV09012297,113.442827,22.81263
新沙港务公司,新沙港务公司,新沙港务公司,BV10266918,113.537937,23.015756
新沙路口,新沙路口#1,新沙路口,BV10020906,113.636158,23.124839
新沙路口,新沙路口#2,新沙路口,BV10266846,113.531063,23.022142
新河浦路,新河浦路,新河浦路,BV10022598,113.289474,23.121041
新河路北,新河路北,新河路北,BV09175894,113.606388,23.161742
新洲前,新洲前,新洲前,BV10021303,113.401573,23.090365
新洲大道,新洲大道,新洲大道,BV10387213,113.285662,22.913216
新洲村委,新洲村委,新洲村委,BV11393751,113.284921,22.918762
新洲码头总站,新洲码头总,新洲码头总站,BV10946889,113.402946,23.088194
新洲科技园,新洲科技园,新洲科技园,BV11541222,113.398954,23.093928
新浦南路,新浦南路,新浦南路,BV10019640,113.288974,23.035388
新浦路口,新浦路口,新浦路口,BV10019643,113.293302,23.048103
新海村卫生站,新海村卫生,新海村卫生站,BV10016569,113.509433,22.861991
新海村总站,新海村总,新海村总站,BV10024010,113.512266,22.865007
新涌村委站,新涌村委,新涌村委站,BV10641080,113.321695,22.835749
新港东路东站,新港东路东,新港东路东站,BV09403108,113.396406,23.095154
新港路口站,新港路口,新港路口站,BV10016466,113.548796,22.763668
新湖大厦,新湖大厦,新湖大厦,BV09005847,113.209991,23.379462
新湴路,新湴路,新湴路,BV11522303,113.460319,23.422584
新湴路口,新湴路口,新湴路口,BV11522310,113.463196,23.419064
新滘东立交,新滘东立交,新滘东立交,BV09020456,113.364571,23.089306
新滘东路东,新滘东路东,新滘东路东,BV10639694,113.361974,23.088577
新滘东路中,新滘东路中,新滘东路中,BV11617211,113.342416,23.08319
